timestamp,journal_id,player,stacks,guardian_points
1702671430,3691857069,780003faf4, Bubaximus,3,1581461
1702671330,3691847920,780003faf4, Bubaximus,4,1437843
1702671264,3691841568,780003faf4, Bubaximus,4,1655982
1702671181,3691833774,780003faf4, Bubaximus,4,1938675
1702671131,3691828752,780003faf4, Bubaximus,4,1927715
1702671039,3691819241,780003faf4, Bubaximus,4,1146184
1702671011,3691816372,780003faf4, Bubaximus,4,1398833
1702670983,3691813409,780003faf4, Bubaximus,4,1443897
1702670958,3691810795,780003faf4, Bubaximus,4,1245990
1702670904,3691805268,780003faf4, Bubaximus,4,1275445
1702670853,3691799900,780003faf4, Bubaximus,4,1107919
1702670814,3691795720,780003faf4, Bubaximus,4,1460965
1702670767,3691790578,780003faf4, Bubaximus,4,1437393
1702670720,3691785376,780003faf4, Bubaximus,4,1154888
1702670671,3691780088,780003faf4, Bubaximus,4,1370671
1702670638,3691776625,780003faf4, Bubaximus,4,1360558
1702670615,3691774177,780003faf4, Bubaximus,4,1152819
1702670592,3691771711,780003faf4, Bubaximus,4,1622608
1702667892,3691544666,780003faf4, Bubaximus,2,2142090
1702667872,3691542833,780003faf4, Bubaximus,2,2413220
1702667851,3691540946,780003faf4, Bubaximus,3,1794965
1702667824,3691538615,780003faf4, Bubaximus,3,2062515
1702667797,3691536217,780003faf4, Bubaximus,3,2095423
1702667775,3691534142,780003faf4, Bubaximus,3,1811087
1702667743,3691531320,780003faf4, Bubaximus,3,1968675
1702667717,3691528947,780003faf4, Bubaximus,3,2298834
1702667563,3691514236,780003faf4, Bubaximus,4,1576538
1702667540,3691511968,780003faf4, Bubaximus,4,1591950
1702667407,3691498275,780003faf4, Bubaximus,4,1820165
1702667212,3691478004,780003faf4, Bubaximus,4,2509537
1702667166,3691473296,780003faf4, Bubaximus,4,2037605
1702667116,3691468070,780003faf4, Bubaximus,4,1924927
1702667058,3691462197,780003faf4, Bubaximus,4,1989716
1702667020,3691458440,780003faf4, Bubaximus,4,1956811
1702666972,3691453747,780003faf4, Bubaximus,4,2152438
1702666949,3691451531,780003faf4, Bubaximus,4,2132388
1702666902,3691447029,780003faf4, Bubaximus,4,2407951
1702666872,3691444401,780003faf4, Bubaximus,4,1952552
1702664089,3691214433,780003faf4, Bubaximus,3,2397468
1702663992,3691205257,780003faf4, Bubaximus,3,2165424
1702663908,3691197298,780003faf4, Bubaximus,4,2485446
1702663876,3691194240,780003faf4, Bubaximus,4,2054817
1702663828,3691189574,780003faf4, Bubaximus,4,2179607
1702663757,3691182760,780003faf4, Bubaximus,4,2128482
1702663703,3691177384,780003faf4, Bubaximus,4,2545699
1702663661,3691173351,780003faf4, Bubaximus,4,2122610
1702663577,3691164936,780003faf4, Bubaximus,4,1952703
1702663552,3691162530,780003faf4, Bubaximus,4,2051230
1702663527,3691160118,780003faf4, Bubaximus,4,1879381
1702663496,3691157064,780003faf4, Bubaximus,4,1920686
1702663437,3691151338,780003faf4, Bubaximus,4,1946315
1702663407,3691148425,780003faf4, Bubaximus,4,2178480
1702596125,3687026058,780003faf4, Bubaximus,2,1763480
1702596082,3687022804,780003faf4, Bubaximus,2,2666901
1702596048,3687020319,780003faf4, Bubaximus,3,1651761
1702596017,3687017972,780003faf4, Bubaximus,3,1845495
1702595974,3687014790,780003faf4, Bubaximus,3,1950668
1702595942,3687012458,780003faf4, Bubaximus,3,2007306
1702595903,3687009571,780003faf4, Bubaximus,3,1881854
1702595865,3687006865,780003faf4, Bubaximus,3,1947750
1702595793,3687001553,780003faf4, Bubaximus,4,1808477
1702595713,3686995685,780003faf4, Bubaximus,4,2037357
1702595638,3686989941,780003faf4, Bubaximus,4,2164840
1702595591,3686986472,780003faf4, Bubaximus,4,1668110
1702595553,3686983549,780003faf4, Bubaximus,4,1820018
1702595505,3686979816,780003faf4, Bubaximus,4,1634642
1702595459,3686976232,780003faf4, Bubaximus,4,1910091
1702595421,3686973316,780003faf4, Bubaximus,4,1602575
1702595370,3686969300,780003faf4, Bubaximus,4,1674519
